"year_from","year_to","log_area","region_africa","region_central_eurasia","region_east_asia","region_europe","region_north_america","region_oceania_australia","region_south_america","region_south_asia","region_southeast_asia","region_southwest_asia","X4654","X4676","X4729","X4745","X4776","X4780","X4794","X4827","X4954","X5132","X5137","X5196","X5220","X5226"
-2670,-2168,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1","1","1",NA,"1","1","1","1",NA,"0","0","0","1","1"
-2168,-2010,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1"
1510,1640,13.4520412165762,"0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","1"
1200,1368,11.7814533912003,"0","0","1","0","0","0","0","0","0","0","1","1",NA,"1","1",NA,"1","1","1","0","0","0","0","1"
1100,1250,6.28740117400896,"0","0","0","1","0","0","0","0","0","0","1",NA,"1","0","1","1","1","1","1","0","0","0",NA,"1"
-1100,-650,13.3140606509936,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1",NA,"1","1","1","0","0",NA,"1","1"
1644,1911,15.3592654739724,"0","0","1","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","0","0","0","0","1"
1600,2021,11.482034849644,"0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1"
1500,2020,10.9458713077968,"0","0","0","0","0","0","0","0","1","0",NA,"1",NA,NA,"1",NA,"1","1","1","0","0","1","1","1"
-141,-87,15.5931115238975,"0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","1","0","1","1","0","0","0","0","0"
-1504,-1069,-2.81935430387096,"1","0","0","0","0","0","0","0","0","0","1",NA,"1",NA,"1","1",NA,"1","1","0",NA,NA,"1","1"
2001,2021,18.6962845501203,"1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0"
1560,1687,5.92279060727023,"0","0","0","0","0","0","0","1","0","0","1",NA,"1",NA,"1",NA,"1","1","1","0",NA,"1","0","1"
1625,2021,10.6445255450782,"0","0","1","0","0","0","0","1","0","0","1",NA,"1","1",NA,"1","1","1","1","0","0","0","1",NA
969,1400,13.2479799699684,"0","0","0","1","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1"
0,600,13.1352415856431,"1","0","0","0","0","0","0","0","0","1","1","1",NA,"1",NA,"1","1",NA,"1","0",NA,"0","1","1"
960,1279,13.0374014818327,"0","0","1","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","1"
-1292,-1070,12.1098790919217,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0",NA,"1","1","1"
1890,2021,12.296540021471,"0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0",NA,"0"
-700,476,9.74199144870034,"0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0","1"
600,2021,9.90808639821814,"0","0","1","0","0","0","0","0","0","0",NA,"1","1","1","1","1","1","1","0","0","0","0","0","0"
1910,1951,10.4097401310437,"0","0","1","0","0","0","0","0","0","0","1","1","1","0",NA,"0","0","1","1","0","0","0","0","0"
220,589,15.314660757764,"0","1","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","0",NA,"0","0","1"
1500,1950,13.898139825477,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0"
1997,2021,17.1656108140984,"0","1","1","1","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1600,2020,11.1186633328172,"0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1"
1945,2021,11.9573464302001,"0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1",NA,"1",NA,NA,"0","1","1"
1920,1950,6.29535306844297,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1",NA,"1","0","0","0","0","1"
1885,1910,5.15471184820863,"0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","1"
1915,1940,5.89046110035332,"0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1"
1950,2021,16.0465844821491,"0","1","1","0","0","0","0","1","1","0","1","1","1","1","1","1","0",NA,"1",NA,"0","0","0","0"
1880,1910,9.271209748195,"1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1",NA,"0","1"
-1972,-1718,1.05390959026229,"0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1",NA,"1","0","0","0","0","1"
1200,1900,16.2077840869922,"0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","1","0","1","1","0","0","0","0","0"
1593,2004,7.43856166053388,"0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","1","1"
1500,2002,10.5928124093578,"0","0","0","0","0","0","0","0","1","0","1","1","0","1",NA,"1","1","1","1","0","0","0","1","1"
1500,2004,10.7085873088095,"0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0",NA,"0","0","1","1"
-2000,2022,10.5769957126049,"0","0","0","0","1","0","0","0","0","0","1","1","1","1","1",NA,"1","1","1","0","0","0",NA,"1"
311,600,12.4638364459567,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
1875,2022,13.2390458481902,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
1845,2022,16.0609978035833,"0","0","0","0","1","0","0","0","0","0",NA,"0","1","0","1","1","0","1","1","0","0","0","0","0"
1870,2022,7.63340397882804,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1400,2022,13.2084118916515,"0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","1"
1968,2022,4.93585522276674,"0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","0","1","0","0","0","0","0","1"
1853,2022,12.1843598158842,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","1",NA,"1"
361,363,15.4631130615545,"1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","0","1","1","0","0",NA,"0","0"
1910,1935,7.42730114109107,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","1"
1980,2022,15.9218004888555,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1",NA,"0","0","0","0","0"
1575,1700,12.6288832259043,"0","0","0","1","0","0","0","0","0","0","1",NA,"1","0","1","1","1","1","1","0","0","0","0","0"
1957,2023,14.9652621609527,"0","0","1","1","1","0","1","1","1","1","1","1","1",NA,"1","1",NA,"1","0","0","0","0","0","0"
1960,2022,13.461560159881,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1","1","1","1",NA,"0","0","0","1"
1840,1920,13.6353734160976,"0","0","1","0","0","0","0","0","0","0","1","1","1","1",NA,"1",NA,"1","1","0","0","0","0","0"
2012,2022,3.99373002778516,"0","0","0","0","0","0","0","0","0","1","1","0","1","0",NA,"1","0","1","1","0","0","0","0","1"
1124,1991,14.2801838344969,"0","1","1","0","0","0","0","0","0","0",NA,"1","1","1","1",NA,"1","1","1",NA,"0","0","0","0"
2,21,12.8632366113097,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","0","1","1","1","0","0","0","0","0"
1979,2022,14.3012663769132,"0","1","0","0","0","0","0","1","0","1","1","1","1","1","1",NA,"1","1","1","0","0","0","0","0"
1560,1620,14.8886570945094,"0","1","0","1","1","0","0","0","0","0","1","1","1","1","1","1","0",NA,"1","0","0","0","0","1"
1807,1950,13.4468068004302,"0","0","1","0","0","0","0","0","0","0","1",NA,"1","1","1","1","0","1","1","0","0","0","0","0"
1855,1880,9.87181811267864,"0","0","0","0","1","0","0","0","0","0","1","1",NA,NA,NA,"1",NA,NA,NA,"1","1","0","0","1"
-304,-30,13.586927877103,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0",NA,"0","0","1",NA
-1500,-400,11.6267153818336,"0","0","0","0","1","0","0","0","0","0","1","1","0","1",NA,NA,"1",NA,NA,NA,"1",NA,"1","1"
1838,2022,12.8243724266468,"0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","0","0","0","0"
350,398,13.1689725810846,"0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0"
-1550,-1425,12.8032652411236,"1","0","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1","0","0","0","1","1"
1325,1521,10.1888966192007,"0","0","0","0","1","0","0","0","0","0",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,"0",NA,"1"
1935,1960,9.53197664747706,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1"
1945,1970,9.01002253717069,"0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1"
1869,1894,8.60709420320778,"0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","1",NA,"0","0","0","0","1"
1804,1903,13.4733690300683,"1","0","0","0","0","0","0","0","0","0",NA,"1","1","1","1","1","1","1","0","0","0",NA,"0","1"
1781,2022,16.2315845886685,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0","0","0","0","0"
1921,1956,2.74433709533334,"1","0","0","0","0","0","0","0","0","0","1","1",NA,"0","1","1","0","1","0","0","0","0","1","0"
1596,2022,13.3051916230364,"0","1","0","1","0","0","0","0","0","0","1","1","1",NA,"0","1","1","1","1","0","0","0","0","1"
1970,2022,14.9009822592247,"1","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","0","1","0","0"
9,21,15.2056230389896,"0","0","0","0","0","0","0","1","1","1","1","0","1",NA,"1","1","1",NA,"1","0","0","0","1","1"
-300,500,15.4631130615545,"1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","0","1","1","0","0","0","0",NA
897,1700,11.2828350073676,"0","0","0","0","0","0","0","0","0","1","1",NA,"1","1",NA,"1","1","1","1","0","0","1","0","1"
-900,-612,12.9339972067517,"0","0","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","0","1","1","1",NA,NA,"0",NA
1978,2023,-0.509258680222014,"0","0","1","0","0","0","0","0","0","0","1",NA,"1","1",NA,"1","1","1","0","0","0","0","0","1"
1981,2023,11.9662965568931,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","0"
-1650,-1180,12.7414886647928,"0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","0","0",NA,"0","1"
1516,1919,9.52943829427975,"0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1",NA,"1","1","0","0","0","0","1"
843,1054,13.9789858503921,"0","0","0","1","0","0","0","0","0","1","1","1","1","1","0","1","0","1","0","0","0","0","0","1"
1054,1204,13.0612541189059,"0","1","0","1","0","0","0","0","0","1","1","1","1","1","0","1","0","1","0","0","0","0","0","1"
450,1450,14.3509838275152,"1","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0",NA,NA
1120,2023,2.45094647714444,"0","0","0","1","0","0","0","0","0","0","1","1","1",NA,NA,"1","1","1","1","0","0","0","0","1"
1265,1310,12.2443689627722,"0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","1"
708,2023,12.8080201824532,"0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
1115,1269,15.06248360996,"1","0","0","1","0","0","0","0","0","0","1","1",NA,"1","1","1",NA,"1",NA,"0",NA,"1","1","1"
661,2023,14.7263384509985,"0","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
1891,2023,12.8834324365641,"1","0","0","0","0","0","0","0","0","0","1","1",NA,"1",NA,NA,"1","1",NA,"0","0","0",NA,"1"
1195,2023,15.7220911295345,"1","0","0","0","0","0","0","0","0","0",NA,"1","1","1","1","1","1","1","1","0","0","0","0","0"
-1557,1864,6.16524029601648,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1","1","0","1",NA,"0","0","0","0","1"
1881,1939,11.796803254685,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0","0","0",NA,NA
-1881,1939,11.9521073014008,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0","0","0","0","1"
-1956,2023,11.9521073014008,"1","0","0","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1",NA,"0","0",NA,"1"
1881,1939,11.9605424041306,"1","0","0","0","0","0","0","0","0","0","1","0",NA,"1","1","1","0","1","1","0","0","0","0","1"
1969,2023,11.9521073014008,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","0"
1100,1200,5.9824138407037,"0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","1","1","0","0","0","0","0"
1744,1819,12.9869486272504,"0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1",NA
1800,1900,5.16388994820548,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1",NA,NA,"1","1",NA
1980,2019,13.6547571119957,"1","0","0","0","0","0","0","0","0","0",NA,"0","1","0","1","1","0","1","1","0","0","0","0","0"
1986,2019,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0",NA,"0"
1948,2023,1.00279813369311,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0",NA,"0","0"
1018,1536,10.695177330762,"0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1"
1930,2015,4.78215195504802,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","1","1","0","0","0","1","1"
1947,2023,-1.15435694329517,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1",NA,"1",NA,"0","0","1","0","1"
1951,2023,7.24132381487663,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","1","0","1"
750,1258,15.9271467262706,"1","1","1","0","0","0","0","1","0","1","1","1","1","1","1",NA,"1","1","1","0",NA,"1","0","1"
1800,2000,11.9491845190368,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0",NA,"0","0","0"
1950,2023,12.4053520569733,"0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0"
-1793,1864,13.4733690300683,"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","1"
1950,2023,-6.87181420849511,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","0"
1990,2020,14.8530394744591,"0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","1","1","0","0","0","0","0"
1915,2018,12.8766711023074,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","0"
1990,2023,5.00837847429511,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1",NA,"1","1","0","0","0","0","0"
1972,2023,13.723923434042,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1","1","1",NA,"1","0","0","0","0","1"
1970,2000,15.8608425048946,"0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1",NA,"1","1","0","0","0","0","0"
1989,2023,-8.38393607544557,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0",NA
1965,2023,6.97951760284682,"0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
400,600,15.6529143762274,"1","1","0","1","0","0","0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0","1"
34,638,3.23035127729999,"0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","0","0","0","0",NA
-600,300,13.2853691100315,"1","0","0","1","0","0","0","0","0","0","1",NA,"1","1","1","1","1","1","1","0","0","0","1","1"
-600,400,7.88697776263609,"0","0","0","1","0","0","0","0","0","0","1","1","0",NA,"1","1","1","1",NA,"0","0",NA,NA,"1"
1968,2023,13.6547571119957,"1","0","0","0","0","0","0","0","0","0",NA,NA,"1","0","1","1","0","1","1","0",NA,"0","0","0"
1933,2023,1.03137138433618,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1914,2023,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","1"
1970,2023,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
-800,300,8.23061589013977,"0","0","0","1","0","0","0","0","0","0",NA,"1",NA,"1","1","1","1","1","1","0",NA,"0","0","1"
1240,2023,13.9953769129714,"0","0","0","1","0","0","0","0","0","1","1","1","1","1","0","1","1","1","0","0","0",NA,NA,"1"
-909,1171,14.7207164862222,"1","0","0","1","0","0","0","0","0","1","1",NA,"1",NA,"0","1","1","1","1","0","0","1",NA,"1"
1905,2023,12.574126031505,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","1"
971,1152,14.0942764805508,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1","1",NA,"1","1",NA,"0","1","0","1"
800,909,13.9243241652545,"1","0","0","1","0","0","0","0","0","0",NA,"1","1",NA,"1","1",NA,"1","1","0","0","1",NA,"1"
1992,2023,11.8812833444338,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","1","0","0"
1918,2023,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0"
1800,1900,5.16388994820548,"1","0","0","0","0","0","0","0","0","0","1","0","1","1",NA,NA,"1","1","1","0","0","0",NA,"1"
1969,2022,4.05390116456958,"1","0","0","0","0","0","0","0","0","0","1","1","0","1",NA,"1","0","1","1","0","0","0","0","0"
2003,2018,4.78215195504802,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0",NA,"0"
1905,1906,11.9379021449559,"1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","1"
1980,1985,11.9379021449559,"1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","1"
1974,2023,12.430411742632,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1",NA,"1","1","1","0","0","0","0","0"
1700,1900,11.9466212707651,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1",NA,"0","0","0","1"
700,1463,13.4733690300683,"1","0","0","0","0","0","0","0","0","0",NA,"1",NA,"1","1","1","0","1",NA,"0","0",NA,"0",NA
1837,1990,13.4733690300683,"1","0","0","0","0","0","0","0","0","0","1","1",NA,"0","1","1","0","1",NA,"0","0","0","0","1"
1804,1923,13.4733690300683,"1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","1",NA,"0","0","1","0","1"
1978,2008,13.4901235332841,"1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","1","1","0",NA,"0","0","1"
1984,2023,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0",NA,"0","0","1"
1923,2000,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","0","1"
1916,2024,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0",NA,"0",NA,"1"
1980,2020,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1",NA,"1",NA,"0","1","1","0",NA,"0","0","1"
2002,2022,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","0","1","0","1"
-100,1574,14.011691843865,"1","0","0","1","0","0","0","0","0","0","1","1","1",NA,"1","1","0","1","1","0","0","1","0",NA
1705,1957,11.9973942521387,"1","0","0","0","0","0","0","0","0","0","1","1",NA,"1",NA,"1","1","1",NA,"0","0","1",NA,"1"
330,1453,13.9789858503921,"0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","1","1",NA,"0","0","0","1","1"
1775,1815,14.0647899840171,"1","0","0","1","1","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0"
395,1453,13.9789858503921,"0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1",NA,"0","0",NA,"1","1"
1921,2024,7.71444726166207,"0","0","0","0","1","0","0","0","1","0","1",NA,"1",NA,NA,"1","1",NA,"1","0",NA,NA,"1","1"
1952,2023,13.7108679578338,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0",NA,"1","0",NA,"1","0","0"
1480,2024,13.6547571119957,"1","0","0","0","0","0","0","0","0","0",NA,"0","1","1","1","1","1","1","0","0","0","0","0","1"
1981,2024,12.574126031505,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1",NA,"0","0","1","0",NA
1972,2024,13.6547571119957,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","1"
1350,1500,11.9377058934217,"0","0","0","1","0","0","0","0","0","0","1","0","1",NA,"1","1","0","1","1","0",NA,"0","0","0"
1700,2000,14.6735149764073,"1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","0","0","0","0","0"
700,2024,15.2478848871057,"0","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","1","1","1","0","0","0",NA,"0"
-652,1240,10.1284297213751,"0","0","0","1","0","0","0","0","0","0","1",NA,"1","1","1",NA,"1",NA,"1","0","0","1",NA,"1"
-819,1957,11.9685372191671,"1","0","0","0","0","0","0","0","0","0","1",NA,"1","1","1","1","1","1","1","0","0","0","0","1"
647,712,14.3420907774684,"1","0","0","1","0","0","0","0","0","0",NA,"1","1","1","1","1","1",NA,"1",NA,NA,"1",NA,"1"
1631,1702,11.9820807774329,"1","0","0","0","0","0","0","0","0","0",NA,"1","1","1","1","1","1","1","1",NA,NA,NA,NA,"1"
1340,2024,14.2951905298596,"0","1","1","0","0","0","0","0","0","0","1","1",NA,"0","1","1","1","1","1","0","0","0","1","0"
1700,2000,14.6932507306822,"1","0","0","0","0","0","0","0","0","0","1","0","1",NA,"1","1","1","1",NA,"0","0","0","0","0"
1560,1720,12.7404317235456,"0","0","0","1","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","0","0","0","0","1"
1291,1368,15.9165271062846,"0","1","1","0","0","0","0","0","1","0","1","1","1","0","0","1","0","1","1","0","0","0","0","0"
1920,2023,8.70074198092562,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0",NA,"0","0","1"
1700,2024,13.5534818770248,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","0"
1200,2024,13.7993409753417,"1","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1",NA,"1","0","0","0","0","0"
711,726,13.3493695029414,"0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,"1",NA,NA,NA,"1","1","0","1",NA,NA
